IATA,ICAO,Airport name,Country,City,Information
EBW,FKKW,Ebolowa,Cameroon,Ebolowa,https://www.worlddata.info/africa/cameroon/airports.php
ECA,,Iosco County,United States of America,East Tawas,https://www.worlddata.info/america/usa/airports.php
ECG,KECG,Elizabeth City Regional & Coast Guard Air Station,United States of America,Elizabeth City,https://www.worlddata.info/america/usa/airports.php
ECH,YECH,Echuca,Australia,,https://www.worlddata.info/oceania/australia/airports.php
ECI,MNCE,Costa Esmeralda,Nicaragua,Tola,https://www.worlddata.info/america/nicaragua/airports.php
ECN,LCEN,Ercan Intl,Cyprus,Tymbou (Kirklar),https://www.worlddata.info/asia/cyprus/airports.php
ECO,,El Encanto,Colombia,El Encanto,https://www.worlddata.info/america/colombia/airports.php
ECP,KECP,Northwest Florida Beaches Intl,United States of America,Panama City Beach,https://www.worlddata.info/america/usa/airports.php
ECR,,El Charco,Colombia,El Charco,https://www.worlddata.info/america/colombia/airports.php
ECS,KECS,Mondell Field,United States of America,Newcastle,https://www.worlddata.info/america/usa/airports.php
ECV,LECU,Madrid-Cuatro Vientos,Spain,Madrid,https://www.worlddata.info/europe/spain/airports.php
EDB,HSDB,Al Dabbah,Sudan,Al Dabbah,https://www.worlddata.info/africa/sudan/airports.php
EDD,YERL,Erldunda,Australia,Ghan,https://www.worlddata.info/oceania/australia/airports.php
EDE,KEDE,Northeastern Regional,United States of America,Edenton,https://www.worlddata.info/america/usa/airports.php
EDF,PAED,Elmendorf Air Force Base,United States of America,Anchorage,https://www.worlddata.info/america/usa/airports.php
EDI,EGPH,Edinburgh,United Kingdom,Edinburgh,https://www.worlddata.info/europe/united-kingdom/airports.php
EDK,KEQA,Captain Jack Thomas El Dorado,United States of America,El Dorado,https://www.worlddata.info/america/usa/airports.php
EDL,HKEL,Eldoret Intl,Kenya,Eldoret,https://www.worlddata.info/africa/kenya/airports.php
EDM,LFRI,La Roche-sur-Yon Les Ajoncs,France,La Roche-sur-Yon,https://www.worlddata.info/europe/france/airports.php
EDN,UHWE,Yedinka,Russia,Yedinka,https://www.worlddata.info/europe/russia/airports.php
EDO,LTFD,Balıkesir Koca Seyit,Turkey,Edremit,https://www.worlddata.info/asia/turkey/airports.php
EDQ,,Erandique,Honduras,Erandique,https://www.worlddata.info/america/honduras/airports.php
EDR,YPMP,Pormpuraaw,Australia,Pormpuraaw,https://www.worlddata.info/oceania/australia/airports.php
EDW,KEDW,Edwards Air Force Base,United States of America,Edwards,https://www.worlddata.info/america/usa/airports.php
EEA,SNCP,Planalto Serrano Regional,Brazil,Correia Pinto,https://www.worlddata.info/america/brazil/airports.php
EED,KEED,Needles,United States of America,Needles,https://www.worlddata.info/america/usa/airports.php
EEK,PAEE,Eek,United States of America,Eek,https://www.worlddata.info/america/usa/airports.php
EEN,KEEN,Dillant Hopkins,United States of America,Keene,https://www.worlddata.info/america/usa/airports.php
EES,,Berenice Intl / Banas Cape Air Base,Egypt,Berenice Troglodytica,https://www.worlddata.info/africa/egypt/airports.php
EFD,KEFD,Ellington,United States of America,Houston,https://www.worlddata.info/america/usa/airports.php
EFG,,Efogi,Papua New Guinea,Efogi,https://www.worlddata.info/oceania/papua-new-guinea/airports.php
EFK,KEFK,Northeast Kingdom Intl,United States of America,Newport,https://www.worlddata.info/america/usa/airports.php
EFL,LGKF,Kefallinia,Greece,Kefallinia Island,https://www.worlddata.info/europe/greece/airports.php
EFW,KEFW,Jefferson Mun,United States of America,Jefferson,https://www.worlddata.info/america/usa/airports.php
EGA,AYEN,Engati Airstrip,Papua New Guinea,Engati,https://www.worlddata.info/oceania/papua-new-guinea/airports.php
EGC,LFBE,Bergerac Dordogne-Périgord,France,Bergerac,https://www.worlddata.info/europe/france/airports.php
EGE,KEGE,Eagle County Regional,United States of America,Eagle,https://www.worlddata.info/america/usa/airports.php
EGH,HEGR,El Jora,Egypt,El Jora,https://www.worlddata.info/africa/egypt/airports.php
EGI,KEGI,Duke Field,United States of America,Crestview,https://www.worlddata.info/america/usa/airports.php
EGL,HANG,Negele,Ethiopia,Negele Borana,https://www.worlddata.info/africa/ethiopia/airports.php
EGM,AGGS,Sege,Solomon Islands,Sege,https://www.worlddata.info/oceania/solomon-islands/airports.php
EGN,HSGN,Geneina,Sudan,Geneina,https://www.worlddata.info/africa/sudan/airports.php
EGO,UUOB,Belgorod Intl,Russia,Belgorod,https://www.worlddata.info/europe/russia/airports.php
EGP,,Maverick County Memorial Intl,United States of America,Eagle Pass,https://www.worlddata.info/america/usa/airports.php
EGS,BIEG,Egilsstaðir,Iceland,Egilsstaðir,https://www.worlddata.info/europe/iceland/airports.php
EGV,KEGV,Eagle River Union,United States of America,Eagle River,https://www.worlddata.info/america/usa/airports.php
EGX,PAII,Egegik,United States of America,Egegik,https://www.worlddata.info/america/usa/airports.php
