IATA,ICAO,Airport name,Country,City,Information
AAA,NTGA,Anaa,French Polynesia,Anaa,https://www.worlddata.info/oceania/french-polynesia/airports.php
AAB,YARY,Arrabury,Australia,Tanbar,https://www.worlddata.info/oceania/australia/airports.php
AAC,HEAR,El Arish Intl,Egypt,El Arish,https://www.worlddata.info/africa/egypt/airports.php
AAD,,Adado,Somalia,Adado,https://www.worlddata.info/africa/somalia/airports.php
AAE,DABB,Annaba Rabah Bitat,Algeria,Annaba,https://www.worlddata.info/africa/algeria/airports.php
AAF,KAAF,Apalachicola Regional,United States of America,Apalachicola,https://www.worlddata.info/america/usa/airports.php
AAG,SSYA,Fazenda Tropical,Brazil,São Luiz do Norte,https://www.worlddata.info/america/brazil/airports.php
AAH,EDKA,Aachen-Merzbrück,Germany,Aachen,https://www.worlddata.info/europe/germany/airports.php
AAI,SWRA,Arraias,Brazil,Arraias,https://www.worlddata.info/america/brazil/airports.php
AAJ,,Cayana Airstrip,Suriname,Awaradam,https://www.worlddata.info/america/suriname/airports.php
AAK,NGUK,Aranuka,Kiribati,Buariki,https://www.worlddata.info/oceania/kiribati/airports.php
AAL,EKYT,Aalborg,Denmark,Aalborg,https://www.worlddata.info/europe/denmark/airports.php
AAM,FAMD,Malamala,South Africa,Malamala,https://www.worlddata.info/africa/south-africa/airports.php
AAN,OMAL,Al Ain Intl,United Arab Emirates,Al Ain,https://www.worlddata.info/asia/arab-emirates/airports.php
AAO,SVAN,Anaco,Venezuela,Anaco,https://www.worlddata.info/america/venezuela/airports.php
AAP,WALS,Aji Pangeran Tumenggung Pranoto Intl,Indonesia,Samarinda,https://www.worlddata.info/asia/indonesia/airports.php
AAQ,URKA,Anapa Vityazevo,Russia,Krasnyi Kurgan,https://www.worlddata.info/europe/russia/airports.php
AAR,EKAH,Aarhus,Denmark,Aarhus,https://www.worlddata.info/europe/denmark/airports.php
AAS,,Apalapsili,Indonesia,Apalapsili,https://www.worlddata.info/asia/indonesia/airports.php
AAT,ZWAT,Altay Xuedu,China,Altay,https://www.worlddata.info/asia/china/airports.php
AAU,NSAU,Asau,Samoa,Asau,https://www.worlddata.info/oceania/samoa/airports.php
AAV,RPMA,Allah Valley,Philippines,Surallah,https://www.worlddata.info/asia/philippines/airports.php
AAX,SBAX,Romeu Zema,Brazil,Araxá,https://www.worlddata.info/america/brazil/airports.php
AAY,OYGD,Al Ghaydah Intl,Yemen,Al Ghaydah,https://www.worlddata.info/asia/yemen/airports.php
AAZ,MGQZ,Quezaltenango,Guatemala,Quezaltenango,https://www.worlddata.info/america/guatemala/airports.php
ABA,UNAA,Abakan Intl,Russia,Abakan,https://www.worlddata.info/europe/russia/airports.php
ABB,DNAS,Asaba Intl,Nigeria,Asaba,https://www.worlddata.info/africa/nigeria/airports.php
ABC,LEAB,Albacete / Los Llanos Air Base,Spain,Albacete,https://www.worlddata.info/europe/spain/airports.php
ABD,OIAA,Abadan Ayatollah Jami Intl,Iran,Abadan,https://www.worlddata.info/asia/iran/airports.php
ABE,KABE,Lehigh Valley Intl,United States of America,Allentown/Bethlehem,https://www.worlddata.info/america/usa/airports.php
ABF,NGAB,Abaiang,Kiribati,Abaiang,https://www.worlddata.info/oceania/kiribati/airports.php
ABG,YABI,Abingdon Downs,Australia,Abingdon Downs,https://www.worlddata.info/oceania/australia/airports.php
ABH,,Alpha,Australia,Alpha,https://www.worlddata.info/oceania/australia/airports.php
ABI,KABI,Abilene Regional,United States of America,Abilene,https://www.worlddata.info/america/usa/airports.php
ABJ,DIAP,Félix-Houphouët-Boigny Intl,Ivory Coast,Abidjan,https://www.worlddata.info/africa/ivory-coast/airports.php
ABK,HAKD,Kebri Dahar,Ethiopia,Kebri Dahar,https://www.worlddata.info/africa/ethiopia/airports.php
ABL,PAFM,Ambler,United States of America,Ambler,https://www.worlddata.info/america/usa/airports.php
ABM,YNPE,Northern Peninsula,Australia,Bamaga,https://www.worlddata.info/oceania/australia/airports.php
ABN,SMBN,Albina,Suriname,Albina,https://www.worlddata.info/america/suriname/airports.php
ABO,DIAO,Aboisso,Ivory Coast,Aboisso,https://www.worlddata.info/africa/ivory-coast/airports.php
ABP,,Atkamba,Papua New Guinea,Atkamba Mission,https://www.worlddata.info/oceania/papua-new-guinea/airports.php
ABQ,KABQ,Albuquerque Intl Sunport,United States of America,Albuquerque,https://www.worlddata.info/america/usa/airports.php
ABR,KABR,Aberdeen Regional,United States of America,Aberdeen,https://www.worlddata.info/america/usa/airports.php
ABS,HEBL,Abu Simbel,Egypt,Abu Simbel,https://www.worlddata.info/africa/egypt/airports.php
ABT,OEBA,King Saud Bin Abdulaziz (Al Baha),Saudi Arabia,Al-Baha,https://www.worlddata.info/asia/saudi-arabia/airports.php
ABU,WATA,AA Bere Tallo (Haliwen),Indonesia,Atambua,https://www.worlddata.info/asia/indonesia/airports.php
ABV,DNAA,Nnamdi Azikiwe Intl,Nigeria,Abuja,https://www.worlddata.info/africa/nigeria/airports.php
ABX,YMAY,Albury,Australia,East Albury,https://www.worlddata.info/oceania/australia/airports.php
ABY,KABY,Southwest Georgia Regional,United States of America,Albany,https://www.worlddata.info/america/usa/airports.php
ABZ,EGPD,Aberdeen Intl,United Kingdom,Aberdeen,https://www.worlddata.info/europe/united-kingdom/airports.php
ACA,MMAA,General Juan N. Álvarez Intl,Mexico,Acapulco,https://www.worlddata.info/america/mexico/airports.php
ACB,KACB,Antrim County,United States of America,Bellaire,https://www.worlddata.info/america/usa/airports.php
ACC,DGAA,Kotoka Intl,Ghana,Accra,https://www.worlddata.info/africa/ghana/airports.php
ACD,SKAD,Alcides Fernández,Colombia,Acandí,https://www.worlddata.info/america/colombia/airports.php
ACE,GCRR,César Manrique-Lanzarote,Spain,San Bartolomé,https://www.worlddata.info/europe/spain/airports.php
ACF,ZWAL,Aral Tarim,China,Aral,https://www.worlddata.info/asia/china/airports.php
ACH,LSZR,Sankt Gallen Altenrhein,Switzerland,St. Gallen,https://www.worlddata.info/europe/switzerland/airports.php
ACI,EGJA,Alderney,Guernsey,Saint Anne,https://www.worlddata.info/europe/guernsey/airports.php
ACJ,VCCA,Anuradhapura,Sri Lanka,Anuradhapura,https://www.worlddata.info/asia/sri-lanka/airports.php
ACK,KACK,Nantucket Memorial,United States of America,Nantucket,https://www.worlddata.info/america/usa/airports.php
ACN,MMCC,Ciudad Acuña Intl,Mexico,Ciudad Acuña,https://www.worlddata.info/america/mexico/airports.php
ACP,OITM,Sahand,Iran,Maragheh,https://www.worlddata.info/asia/iran/airports.php
ACR,SKAC,Araracuara,Colombia,Araracuara,https://www.worlddata.info/america/colombia/airports.php
ACS,UNKS,Achinsk,Russia,Achinsk,https://www.worlddata.info/europe/russia/airports.php
ACT,KACT,Waco Regional,United States of America,Waco,https://www.worlddata.info/america/usa/airports.php
ACU,,Achutupu,Panama,Mamitupu,https://www.worlddata.info/america/panama/airports.php
ACV,KACV,California Redwood Coast-Humboldt County,United States of America,Arcata/Eureka,https://www.worlddata.info/america/usa/airports.php
ACX,ZUYI,Xingyi Wanfenglin,China,Xingyi,https://www.worlddata.info/asia/china/airports.php
ACY,KACY,Atlantic City Intl,United States of America,Atlantic City,https://www.worlddata.info/america/usa/airports.php
ACZ,OIZB,Zabol,Iran,Zabol,https://www.worlddata.info/asia/iran/airports.php
ADA,LTAF,Adana Şakirpaşa,Turkey,Seyhan,https://www.worlddata.info/asia/turkey/airports.php
ADB,LTBJ,Adnan Menderes Intl,Turkey,Gaziemir,https://www.worlddata.info/asia/turkey/airports.php
ADC,,Andakombe,Papua New Guinea,Andekombe,https://www.worlddata.info/oceania/papua-new-guinea/airports.php
ADD,HAAB,Addis Ababa Bole Intl,Ethiopia,Addis Ababa,https://www.worlddata.info/africa/ethiopia/airports.php
ADE,OYAA,Aden Intl,Yemen,Aden,https://www.worlddata.info/asia/yemen/airports.php
ADF,LTCP,Adıyaman,Turkey,Adıyaman,https://www.worlddata.info/asia/turkey/airports.php
ADG,KADG,Lenawee County,United States of America,Adrian,https://www.worlddata.info/america/usa/airports.php
ADH,UEEA,Aldan,Russia,Aldan,https://www.worlddata.info/europe/russia/airports.php
ADI,FYAR,Arandis,Namibia,Arandis,https://www.worlddata.info/africa/namibia/airports.php
ADJ,OJAM,Marka Intl (Amman Civil),Jordan,Amman,https://www.worlddata.info/asia/jordan/airports.php
ADK,PADK,Adak,United States of America,Adak,https://www.worlddata.info/america/usa/airports.php
ADL,YPAD,Adelaide Intl,Australia,Adelaide,https://www.worlddata.info/oceania/australia/airports.php
ADM,KADM,Ardmore Mun,United States of America,Ardmore,https://www.worlddata.info/america/usa/airports.php
ADO,YAMK,Andamooka,Australia,Andamooka,https://www.worlddata.info/oceania/australia/airports.php
ADP,VCCG,Ampara,Sri Lanka,Ampara,https://www.worlddata.info/asia/sri-lanka/airports.php
ADQ,PADQ,Kodiak,United States of America,Kodiak,https://www.worlddata.info/america/usa/airports.php
ADR,KPHH,Robert F Swinnie,United States of America,Andrews,https://www.worlddata.info/america/usa/airports.php
ADS,KADS,Addison,United States of America,Dallas,https://www.worlddata.info/america/usa/airports.php
ADT,KADH,Ada Regional,United States of America,Ada,https://www.worlddata.info/america/usa/airports.php
ADU,OITL,Ardabil,Iran,Ardabil,https://www.worlddata.info/asia/iran/airports.php
ADV,,El Daein,Sudan,El Daein,https://www.worlddata.info/africa/sudan/airports.php
ADW,KADW,Joint Base Andrews,United States of America,Camp Springs,https://www.worlddata.info/america/usa/airports.php
ADX,EGQL,Leuchars Station Airfield,United Kingdom,"Leuchars, Fife",https://www.worlddata.info/europe/united-kingdom/airports.php
ADY,FAAL,Alldays,South Africa,Alldays,https://www.worlddata.info/africa/south-africa/airports.php
ADZ,SKSP,Gustavo Rojas Pinilla Intl,Colombia,San Andrés,https://www.worlddata.info/america/colombia/airports.php
AEA,NGTB,Abemama,Kiribati,Abemama,https://www.worlddata.info/oceania/kiribati/airports.php
AEB,ZGBS,Baise (Bose) Bama,China,Baise (Tianyang),https://www.worlddata.info/asia/china/airports.php
AEE,,Adareil,South Sudan,Adar,https://www.worlddata.info/africa/south-sudan/airports.php
AEG,WIME,Aek Godang,Indonesia,Padang Sidempuan,https://www.worlddata.info/asia/indonesia/airports.php
AEH,FTTC,Abeche,Chad,Abeche,https://www.worlddata.info/africa/chad/airports.php
AEK,,Aseki,Papua New Guinea,Aseki,https://www.worlddata.info/oceania/papua-new-guinea/airports.php
AEL,KAEL,Albert Lea Mun,United States of America,Albert Lea,https://www.worlddata.info/america/usa/airports.php
AEM,UHTG,Amgu,Russia,Amgu,https://www.worlddata.info/europe/russia/airports.php
AEO,GQNA,Aioun el Atrouss,Mauritania,Aioun El Atrouss,https://www.worlddata.info/africa/mauritania/airports.php
AEP,SABE,Aeroparque Jorge Newbery,Argentina,Buenos Aires,https://www.worlddata.info/america/argentina/airports.php
AEQ,,Ar Horqin,China,Chifeng,https://www.worlddata.info/asia/china/airports.php
AER,URSS,Sochi Intl,Russia,Sochi,https://www.worlddata.info/europe/russia/airports.php
AES,ENAL,Ålesund,Norway,Ålesund,https://www.worlddata.info/europe/norway/airports.php
AET,PFAL,Allakaket,United States of America,Allakaket,https://www.worlddata.info/america/usa/airports.php
AEU,OIBA,Abu Musa Island,Iran,Abu Musa,https://www.worlddata.info/asia/iran/airports.php
AEX,KAEX,Alexandria Intl,United States of America,Alexandria,https://www.worlddata.info/america/usa/airports.php
AEY,BIAR,Akureyri Intl,Iceland,Akureyri,https://www.worlddata.info/europe/iceland/airports.php
AFA,SAMR,Suboficial Ay Santiago Germano,Argentina,San Rafael,https://www.worlddata.info/america/argentina/airports.php
AFD,FAPA,Port Alfred,South Africa,Port Alfred,https://www.worlddata.info/africa/south-africa/airports.php
AFF,KAFF,USAF Academy Airfield,United States of America,Colorado Springs,https://www.worlddata.info/america/usa/airports.php
AFI,SKAM,Amalfi,Colombia,Amalfi,https://www.worlddata.info/america/colombia/airports.php
AFL,SBAT,Piloto Osvaldo Marques Dias,Brazil,Alta Floresta,https://www.worlddata.info/america/brazil/airports.php
AFN,KAFN,Jaffrey Airfield Silver Ranch,United States of America,Jaffrey,https://www.worlddata.info/america/usa/airports.php
AFO,KAFO,Afton Mun,United States of America,Afton,https://www.worlddata.info/america/usa/airports.php
AFR,,Afore Airstrip,Papua New Guinea,,https://www.worlddata.info/oceania/papua-new-guinea/airports.php
AFS,UTSN,Sugraly,Uzbekistan,Zarafshan,https://www.worlddata.info/asia/uzbekistan/airports.php
AFT,AGAF,Afutara Aerodrome,Solomon Islands,Bila,https://www.worlddata.info/oceania/solomon-islands/airports.php
AFW,KAFW,Perot Field/Fort Worth Alliance,United States of America,Fort Worth,https://www.worlddata.info/america/usa/airports.php
AFZ,OIMS,Sabzevar National,Iran,Sabzevar,https://www.worlddata.info/asia/iran/airports.php
AGA,GMAD,Al Massira,Morocco,Agadir (Temsia),https://www.worlddata.info/africa/morocco/airports.php
AGB,EDMA,Augsburg,Germany,Augsburg,https://www.worlddata.info/europe/germany/airports.php
AGC,KAGC,Allegheny County,United States of America,Pittsburgh,https://www.worlddata.info/america/usa/airports.php
AGD,,Anggi,Indonesia,Anggi-Papua Island,https://www.worlddata.info/asia/indonesia/airports.php
AGE,EDWG,Wangerooge,Germany,Wangerooge,https://www.worlddata.info/europe/germany/airports.php
AGF,LFBA,Agen La Garenne,France,Agen,https://www.worlddata.info/europe/france/airports.php
AGG,,Angoram,Papua New Guinea,Angoram,https://www.worlddata.info/oceania/papua-new-guinea/airports.php
AGH,ESTA,Ängelholm-Helsingborg,Sweden,Ängelholm,https://www.worlddata.info/europe/sweden/airports.php
AGI,SMWA,Wageningen Airstrip,Suriname,Wageningen,https://www.worlddata.info/america/suriname/airports.php
AGJ,RORA,Aguni,Japan,Aguni,https://www.worlddata.info/asia/japan/airports.php
AGK,,Kagua,Papua New Guinea,Kagua,https://www.worlddata.info/oceania/papua-new-guinea/airports.php
AGL,,Wanigela,Papua New Guinea,,https://www.worlddata.info/oceania/papua-new-guinea/airports.php
AGO,KAGO,Magnolia Mun / Ralph C Weiser Field,United States of America,Magnolia,https://www.worlddata.info/america/usa/airports.php
AGP,LEMG,Málaga-Costa del Sol,Spain,Málaga,https://www.worlddata.info/europe/spain/airports.php
AGR,VIAG,Agra / Agra Air Force Station,India,Agra,https://www.worlddata.info/asia/india/airports.php
AGS,KAGS,Augusta Regional At Bush Field,United States of America,Augusta,https://www.worlddata.info/america/usa/airports.php
AGT,SGES,Guaraní Intl,Paraguay,Ciudad del Este,https://www.worlddata.info/america/paraguay/airports.php
AGU,MMAS,Aguascalientes Intl,Mexico,Aguascalientes,https://www.worlddata.info/america/mexico/airports.php
AGV,SVAC,Oswaldo Guevara Mujica,Venezuela,Acarigua,https://www.worlddata.info/america/venezuela/airports.php
AGW,,Agnew,Australia,Agnew,https://www.worlddata.info/oceania/australia/airports.php
AGX,VOAT,Agatti,India,Agatti,https://www.worlddata.info/asia/india/airports.php
AGY,,Argyle Downs,Australia,Argyle Downs,https://www.worlddata.info/oceania/australia/airports.php
AGZ,FAAG,Aggeneys,South Africa,Aggeneys,https://www.worlddata.info/africa/south-africa/airports.php
AHA,,Maa Mahamaya,India,Ambikapur,https://www.worlddata.info/asia/india/airports.php
AHB,OEAB,Abha Intl,Saudi Arabia,Abha,https://www.worlddata.info/asia/saudi-arabia/airports.php
AHC,KAHC,Amedee Army Air Field,United States of America,Herlong,https://www.worlddata.info/america/usa/airports.php
AHD,,Ardmore Downtown Executive,United States of America,Ardmore,https://www.worlddata.info/america/usa/airports.php
AHE,NTHE,Ahe,French Polynesia,Ahe Atoll,https://www.worlddata.info/oceania/french-polynesia/airports.php
AHF,,Arapahoe Mun,United States of America,Arapahoe,https://www.worlddata.info/america/usa/airports.php
AHH,KAHH,Amery Mun,United States of America,Amery,https://www.worlddata.info/america/usa/airports.php
AHI,WAPA,Amahai,Indonesia,Amahai,https://www.worlddata.info/asia/indonesia/airports.php
AHJ,ZUHY,Hongyuan,China,Ngawa (Hongyuan),https://www.worlddata.info/asia/china/airports.php
AHL,SYAH,Aishalton,Guyana,Aishalton,https://www.worlddata.info/america/guyana/airports.php
AHM,,Ashland Mun Sumner Parker Field,United States of America,Ashland,https://www.worlddata.info/america/usa/airports.php
AHN,KAHN,Athens Ben Epps,United States of America,Athens,https://www.worlddata.info/america/usa/airports.php
AHO,LIEA,Alghero-Fertilia,Italy,Alghero,https://www.worlddata.info/europe/italy/airports.php
AHS,MHAH,Ahuas,Honduras,Ahuas,https://www.worlddata.info/america/honduras/airports.php
AHU,GMTA,Cherif Al Idrissi,Morocco,Al Hoceima,https://www.worlddata.info/africa/morocco/airports.php
AHY,,Ambatolhy,Madagascar,Ambatolahy,https://www.worlddata.info/africa/madagascar/airports.php
AHZ,LFHU,L'Alpe d'Huez - Henri Giraud Altiport,France,"Huez, Isère",https://www.worlddata.info/europe/france/airports.php
AIA,KAIA,Alliance Mun,United States of America,Alliance,https://www.worlddata.info/america/usa/airports.php
AIC,,Ailinglaplap Airok,Marshall Islands,Bigatyelang Island,https://www.worlddata.info/oceania/marshall-islands/airports.php
AID,KAID,Anderson Mun Darlington Field,United States of America,Anderson,https://www.worlddata.info/america/usa/airports.php
AIE,,Aiome,Papua New Guinea,Aiome,https://www.worlddata.info/oceania/papua-new-guinea/airports.php
AIF,SNAX,Marcelo Pires Halzhausen,Brazil,Assis,https://www.worlddata.info/america/brazil/airports.php
AIG,FEFY,Yalinga,Central African Republic,Yalinga,https://www.worlddata.info/africa/central-african-republic/airports.php
AIH,,Aiambak,Papua New Guinea,Aiambak,https://www.worlddata.info/oceania/papua-new-guinea/airports.php
AII,HDAS,Ali-Sabieh,Djibouti,Ali-Sabieh,https://www.worlddata.info/africa/djibouti/airports.php
AIK,KAIK,Aiken Regional,United States of America,Aiken,https://www.worlddata.info/america/usa/airports.php
AIL,,Ailigandí,Panama,Isla Lorenzo Bello,https://www.worlddata.info/america/panama/airports.php
AIM,,Ailuk,Marshall Islands,Ailuk Island,https://www.worlddata.info/oceania/marshall-islands/airports.php
AIN,PAWI,Wainwright,United States of America,Wainwright,https://www.worlddata.info/america/usa/airports.php
AIO,KAIO,Atlantic Mun,United States of America,Atlantic,https://www.worlddata.info/america/usa/airports.php
AIP,VIAX,Adampur,India,Adampur,https://www.worlddata.info/asia/india/airports.php
AIR,SWRP,Aripuanã,Brazil,Aripuanã,https://www.worlddata.info/america/brazil/airports.php
AIS,NGTR,Arorae Island,Kiribati,Arorae Island,https://www.worlddata.info/oceania/kiribati/airports.php
AIT,NCAI,Aitutaki,Cook Islands,Aitutaki,https://www.worlddata.info/oceania/cook-islands/airports.php
AIU,NCAT,Enua,Cook Islands,Atiu Island,https://www.worlddata.info/oceania/cook-islands/airports.php
AIV,KAIV,George Downer,United States of America,Aliceville,https://www.worlddata.info/america/usa/airports.php
AIW,FYAA,Ai-Ais,Namibia,Ai-Ais,https://www.worlddata.info/africa/namibia/airports.php
AIZ,KAIZ,Lee C Fine Memorial,United States of America,Kaiser Lake Ozark,https://www.worlddata.info/america/usa/airports.php
AJA,LFKJ,Ajaccio Napoléon Bonaparte,France,Ajaccio,https://www.worlddata.info/europe/france/airports.php
AJF,OESK,Al-Jawf Intl,Saudi Arabia,Al-Jawf,https://www.worlddata.info/asia/saudi-arabia/airports.php
AJI,LTCO,Ağrı,Turkey,Ağrı,https://www.worlddata.info/asia/turkey/airports.php
AJJ,GQNJ,Akjoujt,Mauritania,Akjoujt,https://www.worlddata.info/africa/mauritania/airports.php
AJK,OIHR,Arak,Iran,Araak,https://www.worlddata.info/asia/iran/airports.php
AJL,VELP,Lengpui,India,Aizawl (Lengpui),https://www.worlddata.info/asia/india/airports.php
AJN,FMCV,Ouani,Comoros,Ouani,https://www.worlddata.info/africa/comoros/airports.php
AJR,ESNX,Arvidsjaur,Sweden,Arvidsjaur,https://www.worlddata.info/europe/sweden/airports.php
AJS,,Punta Abreojos,Mexico,Mulegé,https://www.worlddata.info/america/mexico/airports.php
AJU,SBAR,Aracaju - Santa Maria,Brazil,Aracaju,https://www.worlddata.info/america/brazil/airports.php
AJY,DRZA,Mano Dayak Intl,Niger,Agadez,https://www.worlddata.info/africa/niger/airports.php
AKA,ZLAK,Ankang Fuqiang,China,Ankang (Hanbin),https://www.worlddata.info/asia/china/airports.php
AKB,PAAK,Atka,United States of America,Atka,https://www.worlddata.info/america/usa/airports.php
AKC,KAKR,Akron Fulton Intl,United States of America,Akron,https://www.worlddata.info/america/usa/airports.php
AKD,VAAK,Akola,India,Akola,https://www.worlddata.info/asia/india/airports.php
AKE,,Akieni,Gabon,Akieni,https://www.worlddata.info/africa/gabon/airports.php
AKF,HLKF,Kufra,Libya,Kufra,https://www.worlddata.info/africa/libya/airports.php
AKG,,Anguganak,Papua New Guinea,Anguganak,https://www.worlddata.info/oceania/papua-new-guinea/airports.php
AKI,PFAK,Akiak,United States of America,Akiak,https://www.worlddata.info/america/usa/airports.php
AKJ,RJEC,Asahikawa,Japan,Higashikagura,https://www.worlddata.info/asia/japan/airports.php
AKK,PAKH,Akhiok,United States of America,Akhiok,https://www.worlddata.info/america/usa/airports.php
AKL,NZAA,Auckland Intl,New Zealand,Auckland,https://www.worlddata.info/oceania/new-zealand/airports.php
AKM,,Zakuoma,Chad,ZaKouma,https://www.worlddata.info/africa/chad/airports.php
AKN,PAKN,King Salmon,United States of America,King Salmon,https://www.worlddata.info/america/usa/airports.php
AKO,KAKO,Colorado Plains Regional,United States of America,Akron,https://www.worlddata.info/america/usa/airports.php
AKP,PAKP,Anaktuvuk Pass,United States of America,Anaktuvuk Pass,https://www.worlddata.info/america/usa/airports.php
AKQ,,Astra Ksetra,Indonesia,Menggala,https://www.worlddata.info/asia/indonesia/airports.php
AKR,DNAK,Akure,Nigeria,Akure,https://www.worlddata.info/africa/nigeria/airports.php
AKS,AGGA,Gwaunaru'u,Solomon Islands,Auki,https://www.worlddata.info/oceania/solomon-islands/airports.php
AKT,LCRA,RAF Akrotiri,Cyprus,Akrotiri,https://www.worlddata.info/asia/cyprus/airports.php
AKU,ZWAK,Aksu Hongqipo,China,Aksu (Onsu),https://www.worlddata.info/asia/china/airports.php
AKV,CYKO,Akulivik,Canada,Akulivik,https://www.worlddata.info/america/canada/airports.php
AKW,OIAG,Aghajari,Iran,Omidiyeh,https://www.worlddata.info/asia/iran/airports.php
AKX,UATT,Aktobe Intl,Kazakhstan,Aktobe,https://www.worlddata.info/asia/kazakhstan/airports.php
AKY,VYSW,Sittwe,Myanmar,Sittwe,https://www.worlddata.info/asia/burma/airports.php
ALA,UAAA,Almaty Intl,Kazakhstan,Almaty,https://www.worlddata.info/asia/kazakhstan/airports.php
ALB,KALB,Albany Intl,United States of America,Albany,https://www.worlddata.info/america/usa/airports.php
ALC,LEAL,Alicante-Elche Miguel Hernández,Spain,Alicante,https://www.worlddata.info/europe/spain/airports.php
ALD,SPAR,Alerta,Peru,Fortaleza,https://www.worlddata.info/america/peru/airports.php
ALE,,Alpine Casparis Mun,United States of America,Alpine,https://www.worlddata.info/america/usa/airports.php
ALF,ENAT,Alta,Norway,Alta,https://www.worlddata.info/europe/norway/airports.php
ALG,DAAG,Houari Boumediene,Algeria,Algiers,https://www.worlddata.info/africa/algeria/airports.php
ALH,YABA,Albany,Australia,Albany,https://www.worlddata.info/oceania/australia/airports.php
ALI,KALI,Alice Intl,United States of America,Alice,https://www.worlddata.info/america/usa/airports.php
ALJ,FAAB,Alexander Bay,South Africa,Alexander Bay,https://www.worlddata.info/africa/south-africa/airports.php
ALL,LIMG,Riviera Villanova d'Albenga Intl,Italy,Villanova d'Albenga (SV),https://www.worlddata.info/europe/italy/airports.php
ALM,KALM,Alamogordo White Sands Regional,United States of America,Alamogordo,https://www.worlddata.info/america/usa/airports.php
ALN,KALN,St Louis Regional,United States of America,Alton/St Louis,https://www.worlddata.info/america/usa/airports.php
ALO,KALO,Waterloo Regional,United States of America,Waterloo,https://www.worlddata.info/america/usa/airports.php
ALP,OSAP,Aleppo Intl,Syria,Aleppo,https://www.worlddata.info/asia/syria/airports.php
ALQ,SSLT,Alegrete Novo,Brazil,Alegrete,https://www.worlddata.info/america/brazil/airports.php
ALR,NZLX,Alexandra Aerodrome,New Zealand,Alexandra,https://www.worlddata.info/oceania/new-zealand/airports.php
ALS,KALS,San Luis Valley Regional/Bergman Field,United States of America,Alamosa,https://www.worlddata.info/america/usa/airports.php
ALT,,Alenquer Mun,Brazil,Alenquer,https://www.worlddata.info/america/brazil/airports.php
ALU,HCMA,Alula,Somalia,Alula,https://www.worlddata.info/africa/somalia/airports.php
ALW,KALW,Walla Walla Regional,United States of America,Walla Walla,https://www.worlddata.info/america/usa/airports.php
ALX,KALX,Thomas C Russell Field,United States of America,Alexander City,https://www.worlddata.info/america/usa/airports.php
AMA,KAMA,Rick Husband Amarillo Intl,United States of America,Amarillo,https://www.worlddata.info/america/usa/airports.php
AMB,FMNE,Ambilobe,Madagascar,,https://www.worlddata.info/africa/madagascar/airports.php
AMC,FTTN,Am Timan,Chad,Am Timan,https://www.worlddata.info/africa/chad/airports.php
AMD,VAAH,Sardar Vallabh Patel Intl,India,Ahmedabad,https://www.worlddata.info/asia/india/airports.php
AME,,Alto Molocue,Mozambique,Alto Molocue,https://www.worlddata.info/africa/mozambique/airports.php
AMF,,Ama,Papua New Guinea,,https://www.worlddata.info/oceania/papua-new-guinea/airports.php
AMH,HAAM,Arba Minch,Ethiopia,Arba Minch,https://www.worlddata.info/africa/ethiopia/airports.php
AMI,WADA,Selaparang,Indonesia,Mataram,https://www.worlddata.info/asia/indonesia/airports.php
AMJ,SNAR,Cirilo Queiróz,Brazil,Almenara,https://www.worlddata.info/america/brazil/airports.php
AMK,,Animas Air Park,United States of America,Durango,https://www.worlddata.info/america/usa/airports.php
AMM,OJAI,Queen Alia Intl,Jordan,Amman,https://www.worlddata.info/asia/jordan/airports.php
AMN,KAMN,Gratiot Community,United States of America,Alma,https://www.worlddata.info/america/usa/airports.php
AMO,FTTU,Mao,Chad,Mao,https://www.worlddata.info/africa/chad/airports.php
AMP,FMSY,Ampanihy,Madagascar,Ampanihy,https://www.worlddata.info/africa/madagascar/airports.php
AMQ,WAPP,Pattimura Intl,Indonesia,Ambon,https://www.worlddata.info/asia/indonesia/airports.php
AMS,EHAM,Amsterdam Schiphol,Netherlands,Amsterdam,https://www.worlddata.info/europe/netherlands/airports.php
AMT,YAMT,Amata,Australia,,https://www.worlddata.info/oceania/australia/airports.php
AMU,,Amanab,Papua New Guinea,Amanab,https://www.worlddata.info/oceania/papua-new-guinea/airports.php
AMV,ULDD,Amderma,Russia,Amderma,https://www.worlddata.info/europe/russia/airports.php
AMW,KAMW,Ames Mun,United States of America,Ames,https://www.worlddata.info/america/usa/airports.php
AMX,YAMM,Ammaroo,Australia,,https://www.worlddata.info/oceania/australia/airports.php
AMY,,Ambatomainty,Madagascar,,https://www.worlddata.info/africa/madagascar/airports.php
AMZ,NZAR,Ardmore,New Zealand,Manurewa,https://www.worlddata.info/oceania/new-zealand/airports.php
ANA,,Angama Mara,Kenya,Lolgorien,https://www.worlddata.info/africa/kenya/airports.php
ANB,KANB,Anniston Regional,United States of America,Anniston,https://www.worlddata.info/america/usa/airports.php
ANC,PANC,Ted Stevens Anchorage Intl,United States of America,Anchorage,https://www.worlddata.info/america/usa/airports.php
AND,KAND,Anderson Regional,United States of America,Anderson,https://www.worlddata.info/america/usa/airports.php
ANE,LFJR,Angers Marcé,France,Angers,https://www.worlddata.info/europe/france/airports.php
ANF,SCFA,Andrés Sabella Gálvez Intl,Chile,Antofagasta,https://www.worlddata.info/america/chile/airports.php
ANG,LFBU,Angoulême Brie-Champniers,France,Angoulême,https://www.worlddata.info/europe/france/airports.php
